"Slug","Title","Prop","Related Department","Related Teams","Header Image","Header Image:alt","Header Title","Header Description","Show Image Ticker","Heading","Component Type","Hubs Tabs","Number of Cards","Interactive / Image 1","Interactive / Image 1:alt","Interactive / Heading 1","Interactive / Tag 1","Interactive / Body 1","Interactive / Link 1","Interactive / Image 2","Interactive / Image 2:alt","Interactive / Heading 2","Interactive / Tag 2","Interactive / Body 2","Interactive / Link 2","Interactive / Image 3","Interactive / Image 3:alt","Interactive / Heading 3","Interactive / Tag 3","Interactive / Body 3","Interactive / Link 3","Line 1","Line 2","Line 3","Line 4","Line 5","Line 6","Section Heading","Section Subheading","Show Icon Cards","Hub Cards","Show Splash Image?","Full Bleed Image","Full Bleed Image:alt","Image Subtitle","Show Scroller Cards","Hub Scrollers","Hubs Quote","Show Carousel","Spotify Link","Spotify Podcast Link","Video Poster","Video Poster:alt","Video File","Video Title","Video Byline","Show Milestones","Hubs Milestones","Card Heading 1","Card Heading 2","Block Title 1a","Block Text 1a","Block Title 1b","Block Text 1b","Block Title 1c","Block Text 1c","Block Title 2a","Block Text 2a","Block Title 2b","Block Text 2b","Block Title 2c","Block Text 2c"
"product","Product","Product Hub","technology","product,product-management,product-ops","https://framerusercontent.com/images/wUgF6GGJWgQJMlPXRy8P8O7t28.jpg","","We're building products that are transforming a $7 trillion industry.","Product at hx sits at the intersection of deep technology, AI and a domain few companies are capable of tackling: specialty insurance pricing and underwriting.","true","Explore our Teams","Cards","","2","https://framerusercontent.com/images/CNmMvUTX6xSryKvksVxXWroZYA.jpg","","Product Management","Product Management","Product Managers at hx work in one of the most technical product environments in fintech. We shape platform-level decisions, work deeply with engineering, and move between core product growth, new product creation, and new market expansion. Ownership evolves fast here - and PMs are expected to pair strong product instincts with genuine technical depth.","/solutions/underwriters","https://framerusercontent.com/images/1IdPvjPKTRIgez62uDYYtUoUXc8.jpg","","Product Operations","Product Operations","Product Operations at hx builds the systems that make an AI-native product organisation possible. This team designs the workflows, tooling, and automation that give PMs leverage - from AI-enabled context gathering to shared agent libraries. It's a forward-looking function focused on scale, speed, and coherence, not classic process policing.","/solutions/actuaries","","","","","","/solutions/technology","Operate without a playbook in a category we're still defining","Navigate product constraints with full transparency","Go deep on product choices that shape the entire stack","Solve problems that only appear at scale and in production","Spend more time in customer discovery calls than most PMs ever will","","How product is structured","Product is a craft-first team with a few key dimensions","true","ai-and-product-engine,new-products-and-markets,core-platform","false","","","","true","team-led-agent-pool,prototyping-and-prds,ai-products-for-customers,platform-level-product-decisions","james-hall","false","","","","","","","","false","","The patterns of our very best product people","What the environment gives back","They care about product judgement, not just delivery","They are comfortable making calls without perfect information. They think in systems, trade-offs and second-order effects, and they take responsibility for the consequences of product decisions over time.","They go deep where it matters","They don't skim the surface. They are willing to stay in the technical detail, the workflow, or the customer context until the problem is genuinely understood - even when that takes longer than expected.","They operate comfortably inside ambiguity","They shape direction before the brief is perfect or the roadmap is locked. They prioritise deliberately and adapt without losing coherence.","A platform where product judgement actually matters","Leveraging the real ""human"" skills of distilling insight, applying taste, and applying thoughtful judgement are critical and you're empowered to influence across a large product domain.","Serious technical partnership","Engineering challenges assumptions. Domain experts push back. AI changes what is possible week to week. The work sharpens your thinking rather than narrowing it.","Growth that compounds through depth","We develop technical fluency, platform thinking and AI literacy together. The learning curve is steep, but it is cumulative - not episodic."
"ai","AI","AI Hub","technology","ai-products","https://framerusercontent.com/images/UaDdmVLSpgoqQB7dK3yOwtkjslI.jpg","","We build what AI-native insurance looks like.","AI at hx combines applied research and product engineering in one of the most complex domains AI can tackle: insurance pricing and underwriting.","true","Explore our Teams","Cards","","2","https://framerusercontent.com/images/y795LxQMOvuoGCZuHOwiSPx3SK8.jpg","","Research","Research","Research at hx is true R&D - exploration and experimentation, not just implementation. We explore the frontier of what language models can and can't do for actuarial and underwriting work, running experiments to uncover where AI creates transformational value. The work is rigorous, ambiguous, and high-stakes - and if we find something, it could reshape the industry.","","https://framerusercontent.com/images/oq2W3FKL7FJ8JbE61OFcM0uMYzU.jpg","","Agents","Agents","Agents at hx takes proven concepts and scales them into production products. We own production AI products - improving accuracy, building trust, and shipping to customers who are already paying. The work blends product engineering with applied AI, and we're expected to move fast without breaking what's already working. This is 1-to-100 work, not science projects.","","","","","","","","We might be the only company in the world building a best-in-class actuarial agent.","0-to-1 on products no one else has shipped.","Language models that reason, not just query.","Force multipliers, not solo operators. Pro-code platform, vertical AI, bleeding-edge research.","You'll learn in 3 months what takes a year elsewhere.","","How the AI Team is structured","AI is a specialist team with a few key dimensions","false","core-platform,new-products-and-markets,ai-and-product-engine","false","","","","true","research-grade-model-development,agentic-workflow-orchestration,production-ml-infrastructure,domain-specific-ai-products","adam-ben-david-(abd)","false","","","https://framerusercontent.com/images/c2TwJhlrf8yGHtXiVDvaKIxTwM.png","","https://framerusercontent.com/assets/ZGUfJiENJDtmge1d7tnayV3vPXE.mp4","","","false","","The patterns of our very best AI people","What the environment gives back","They're curious, not anxious, when the map is gray","They look at a completely unknown problem and get excited - they want to know what's behind the clouds. They thrive when the map is unclear and get energized by unknown problems.","They have grit - the rough kind","Not just persistence in an orderly environment. Grit like tunnelling through granite - sharp, uncomfortable, and unpredictable. They expect most things to fail, and they keep going when the problem complexity explodes beyond what they expected.","They leverage the team, not just deliver to it","They unlock what's in other people's heads - giving the right context, the right storytelling, to multiply creativity. Force multipliers, not solo operators.","Deep technical growth","We're building AI from first principles - applied research, production agents, infrastructure - and that depth stays with you.","Blue sky for growth","No team leads yet. No engineering managers. Senior IC roles are open, management tracks are open. The team is scaling, it's strategic to the company, and it's working - which means continuous investment, not a 6-month experiment that gets cut.","Backing from the best","a16z, Battery and Highland have invested in the biggest AI companies on the planet - and they expect hx to be another. AI isn't a side bet here. It's the mandate."
"design","Product Design","Product Design Hub","technology","product-design","https://framerusercontent.com/images/rcxxEjF4IiZZIe1xo7anFtXqEQ.jpg","","Bringing unseen complexity to life. ","Design at hx sits at the intersection of craft excellence, AI, and product complexity: where designers set the bar and are trusted with high-impact ownership from day one.","true","Explore our Teams","Cards","","2","https://framerusercontent.com/images/nTpoysxuUMFC81D4oOpdIYG82TI.jpg","","Product Design","Product Design","Product designers at hx own the parts of the product that customers live inside every day. We translate messy, often hidden specialty insurance workflows into clear interaction, usability, and visual design. We work end to end from discovery to detailed execution, using AI-native workflows and interactive prototypes, and partnering closely with front-end engineering. This pairing of craft excellence and deep domain learning means what we build feels human, reliable, and ready for real underwriting work.","","https://framerusercontent.com/images/lw5pFGDxtNbmG76cbBKI5zxokdg.jpg","","Design Engineering","Design Engineering","Design engineers at hx shorten the distance between idea and working product. We take concepts closer to a real skeleton using AI-native tools, interactive prototypes and codebase exploration. This craft helps engineers pick work up with confidence, ensures designs stay feasible, and allows the team to explore further in the same amount of time without creating brittle one-offs.","","https://framerusercontent.com/images/y795LxQMOvuoGCZuHOwiSPx3SK8.jpg","","Brand Design","Operations","Brand designers at hx shape how the market experiences us before anyone logs in. You build the external expression of hx - from website to campaigns - and keep it tightly aligned with what is happening inside the product. The role frames value others unlock, making highly technical insurance intelligence feel clear, confident and coherent at first impression.","","Most design teams add polish at the end - ours define what sells and ships.","Autonomy is a feature of the job, not a perk you earn later.","Design is a spectrum here, not a set of boxes.","Partnership is the craft - without it the work doesn’t matter.","Design decisions are made in conversation with engineering, not in isolation.","We design enablement, not just features.","How design is structured","Design is a craft-first team with a few key dimensions","true","the-crafts,core-dimension-two-homes,ai-and-product-engine","false","","","","true","the-role-of-ai,cross-functional-work,growth-and-feedback-loops","mark-b.","false","","","","","","","","false","","The patterns of our very best design people","What the environment gives back","They lead with craft and conviction","They have a strong point of view on what excellence looks like. They move confidently across visual design, interaction and usability, and they care deeply about the details that make experiences work.","They embrace complexity, not surface fixes","They don't assume the domain is simple just because the tools look outdated. They develop real knowledge of insurance workflows, unwritten rules and customer context - and design experiences that respect that depth.","They separate ideas from identity","They treat feedback as a gift, not a threat. They can move a design left or right if it leads to a better outcome, and they help teammates do the same without ego getting in the way.","Design has a voice from day one","We're not decorating finished ideas. Design sits at the centre of how the product sells, works and feels. Our work materially affects business outcomes, and leadership expects us to have a point of view.","Responsibility beyond your level","We own significant, meaningful work earlier than almost anywhere else. The team is small and flat. Influence comes from the quality of our thinking, not our title.","Deep complexity. Fast feedback.","We work in a domain that is harder than it first appears - and we see the impact of our decisions in days and weeks, not quarters. The learning curve is steep, but the feedback loop is immediate."
"engineering","Engineering","Engineering Hub","technology","engineering,kernel,models,dex,policies,engineering-velocity,delivery,development,analytics,customer-engineering,shared-architecture,engineering-management,platform,quality,security,staff-engineering","https://framerusercontent.com/images/mPHQg1v7IumDU6nf4p2rNQetdz8.jpg","","We're reimagining what software development looks like.","Engineering at hx sits at the intersection of complex technical problems, AI-native workflows and domain challenges that few companies will tackle.","true","Explore our Teams","Tabs","product-development-squads,delivery,quality-engineering,engineering-velocity,platform,security","3","","","","","","","","","","","","","","","","","","","AI native by design, not by hype.","Rust, Kotlin, Python - we use what solves the problem best.","You're building your skill set for the next ten years.","Ownership over hours. Self-discipline over being told what to do.","We build the case, we ship the change - low red tape, high trust.","The best way to predict the future is to create it.","How engineering is structured","Engineering has multiple specialist areas","true","reimagining-the-sdlc,complex-infrastructure,real-technical-autonomy","false","","","","true","building-a-rust-based-execution-engine,serverless-batch-processing-at-scale,llm-powered-submission-processing,reimagining-the-software-development-lifecycle","people-who-aren-t-aligned-with-ai-reimagining-software-development-just-aren-t-going-to-be-the-right-fit.-this-isn-t-somewhere-people-should-join-expecting-to-have-that-debate.-they-should-come-in-fully-engaged-and-motivated.","false","","","","","","","","false","","The patterns of our very best Engineering people","What the environment gives back","They think in systems and architecture","They think at a higher level - architecture, design, corner cases. The shift is from ""I have code to write"" to ""I need to design what makes this maintainable, secure and observable.""","They invest in their own growth","They use spare time to learn, build projects and stay current. We provide L&D budget and tools, but they match that investment. This is their craft - they own their development.","Future-proof skill building","We're building the skill set that will matter for the next ten years. Whether we become the company working in a way no one else is, or working like the best companies but better - either way, we're ahead.","Strong product partnership, not satellite PMs","We work in embedded EPD trios where PMs have deep domain understanding and technical vision. It's not someone dropping a spec and disappearing.","Strong product partnership, not satellite PMs","You work in embedded EPD trios where PMs have deep domain understanding and technical vision. It's not someone dropping a spec and disappearing .","Access to genuinely hard problems","You work on dynamic code execution engines, batched policy analysis across years of data, and infrastructure challenges that aren't just CRUD apps. The domain complexity means you're solving problems most engineers never see."
"sales-partnerships","Sales & Partnerships","Sales & Partnerships Hub","revenue","sales,account-executives-international,account-executives-north-america,account-executives-strategic-accounts,partnerships","https://framerusercontent.com/images/pVEoqYRwnB0HzXLwdLDmqtVI.jpg","","100% customer retention. 10x ROI. Now help us scale to a billion dollars ARR.","Sales and Partnerships at hx sits at the intersection of enterprise selling, strategic relationships and industry transformation: where we work with the world's largest insurers.","true","Explore our Teams","Cards","","3","https://framerusercontent.com/images/e0XQsMtM7trD9ISZjmD2JnxQ.jpg","","Strategic Sales","Strategic Sales","Strategic Sales at hx owns the top 20-25 insurers in the world and is responsible for turning them into £10m ARR accounts. We're multi-threaded across 60+ champions, quarterbacking deals that can reach £40m TCV, and in direct conversation with Amrit and our investors weekly. This team delivers 70-75% of company revenue. There's no hiding - and no ceiling.","","https://framerusercontent.com/images/UGKRIRh5pyuMnxjXyEOGHZIzn5c.jpg","","Enterprise Sales","Enterprise Sales","Enterprise Sales at hx opens new markets and lands new logos. We work across 15-20 accounts, entering territories like Saudi Arabia and new segments like MGAs. The work is more exploratory - finding product-market fit in new verticals and building the playbook as we go. Still big deals, still C-suite access, but with more greenfield opportunity.","","https://framerusercontent.com/images/f0jrEIS2VGxiUfDH1JsMxKiKsvA.jpg","","Partnerships","Partnerships","Partnerships at hx builds the relationships that get us into rooms we wouldn't otherwise be in. We work with the advisory firms that brief the C-suite of our largest prospects daily, and the technology partners whose platforms sit at the core of their infrastructure. When a global insurer is building their AI strategy, we want to be in it - and partnerships makes that happen. It's revenue-driven, deeply cross-functional, and still being defined.","","Straight into the C-suite. CEO, CFO, Chief Actuary - not three layers down.","Partnerships here isn't a support function - it's a revenue multiplier.","We shape the product, not just sell it.","When a global insurer picks a solution behind closed doors, we want allies in that room.","High excellence, hugely collaborative. Rarely do you get both.","We build relationships that last years, not quarters.","How Sales and Partnerships are structured","two engines: closing customers and building the market","true","strategic-sales,enterprise-sales,partnerships","false","","","","false","","leanne-gardner","false","","","","","","","","true","sarah-played-hockey-for-ireland,josh-played-national-1-division-rugby-and-harlequins,annija-is-learning-italian,harry-completed-an-ironman-and-is-an-ultra-marathonist,jake-d-swam-the-channel,i-played-rugby-for-wasps-and-did-basecamp-everest,josh-and-i-have-both-done-ironman-triathlons,julian-has-done-several-triathlons---julian-evans,chris-has-done-some-big-cycles-and-a-few-triathlons,harry-played-rugby-to-a-decent-level,gary-cycled-john-o-grates-to-landsend,gary-recently-became-a-dad","The patterns of our very best revenue people","What the environment gives back","They want to be exceptional, not just successful","They don't aim for 100% of quota - they aim for 200+%. They do exceptional things outside of work too. Ultramarathons, Ironmans, side projects. They're not coasting anywhere in their life.","They're intelligent and endlessly coachable","They learn four things at once: the product, the industry, the go-to-market, and the culture. They're talking to actuaries with PhDs in astrophysics. And they take feedback like it's fuel, not criticism.","They build leverage, not just relationships","They don't collect partners - they activate them. They know how to get us into rooms we wouldn't otherwise be in and turn a conversation into pipeline.","Friends for life - inside and outside hx","The industry is small and relationship-driven. One champion unlocks three. We build friendships with customers, colleagues, and partners that outlast our time here.","Your network becomes the company's leverage","The relationships we build don't just close deals - they get us into conversations we wouldn't otherwise have, with people who influence buying decisions behind closed doors.","A product that sells itself - if you can keep up ","Directly tied to shareholder value. 10x ROI. 100% customer retention. Product-market fit is our tailwind - but the expectation rises with it."
"marketing-gtm-engineering","Marketing & GTM Engineering","Marketing & GTM Engineering Hub","revenue","marketing,abfm,corporate-marketing,marketing-operations,product-marketing,sdr","https://framerusercontent.com/images/6lvqX5bEsNbQUG4ASeqWQ9an8.jpg","","We turn a constrained market into a compounding advantage.","Marketing and GTM Engineering at hx operate at the intersection of demand generation, systems thinking and constrained markets: where every account matters and GTM is a second product.","true","Explore our Teams","Cards","","3","https://framerusercontent.com/images/4oGJ631L3YQK3fnzWykzHrlLdC8.jpg","","Marketing","Marketing","Marketing at hx builds authority and demand in a niche, technical space. We craft narratives, campaigns and experiences for a known universe of accounts, and we stay involved from first engagement through to customer success. This is deep, strategic B2B marketing, not template-driven volume work.","","https://framerusercontent.com/images/UDAv29teqrdtAae638moNnzlEmk.jpg","","Growth Development Reps (GDRs)","GDR's","GDRs at hx are not measured by dials and volume. We own growth in specific pods, acting as a hybrid of SDR, ABM operator and field marketer. We create bespoke plays, build real relationships and do whatever it takes to move critical accounts forward with our sales partners.","","https://framerusercontent.com/images/kNj2SBe7KCKTsI26Jx31fnj2mo.jpg","","GTM Ops and Eng","GTM Ops and Eng","GTM Ops & Engineering treats GTM as a second product. We use data, engineering and AI to understand the market deeply, design processes that reflect real buyer journeys, and build internal tools that give every GTM team a single, coherent view of the customer.","","","","","","","","How we're structured","One function, three engines working together","true","marketing,growth-development-reps-(gdrs),gtm-ops-engineering","true","https://framerusercontent.com/images/wUgF6GGJWgQJMlPXRy8P8O7t28.jpg","","","false","","kate-hillier-isaac","false","","","","","","","","true","sarah-and-laura-ran-nyc-marathon-last-year,franki-crochets-baby-octopuses,matt-s-a-sponsored-new-balance-athlete-for-running,sam-has-completed-an-ironman,conall-starred-as-toad-in-a-production,deyan-has-extremely-good-knowledge-of-french-wine,mehmet-and-meredith-have-encyclopaedic-knowledge-of-movies-(they-re-happy-to-embed-their-letterboxd-accounts-),varun-s-a-surfing-superstar,sim-s-dungeons-and-dragons-nights-are-legendary","The patterns of our very best Marketing & GTM people","What the environment gives back","They're comfortable with constant change","No one here is doing the same job they were a year ago. Roles evolve as the company and market evolve. They adapt without losing momentum.","They experiment, measure, and evolve","They try things, instrument them, and learn from them. They're honest about what worked and what didn't. Experimentation isn't tolerated here - it's expected.","They keep ego in check","They don't need to be the smartest person in the room. They want to be surrounded by people who stretch them. They take the work seriously, not themselves.","Compressed, compounding growth","We learn more in our first year than most people learn in five years elsewhere. The pace doesn't slow - it accelerates. We cringe at last year's work in the best possible way.","The most future-ready in your craft","We're working in an AI-native GTM organisation that's inventing the playbook others will follow. We leave here ahead of where the market is going.","Growth that compounds through depth","We develop technical fluency, platform thinking and AI literacy together. The learning curve is steep, but it is cumulative - not episodic."
"field-engineering","Field Engineering","Field Engineering Hub","revenue","field-engineering,ecosystems,solutions-architecture,solutions-engineering","https://framerusercontent.com/images/2Z4wgeW3v30gUtJbpoUpoB2REw.jpg","","We turn the ""impossible"" into production reality.","Field Engineering at hx sits at the intersection of technical expertise, customer influence and complex transformation: where we win the technical decision and make bold change feel safe.","true","Explore our Teams","Cards","","3","https://framerusercontent.com/images/vXhSFSVDpKaC7N9ADsdidvans.jpg","","Solutions Engineering","Solutions Engineering","Solutions Engineers at hx are responsible for the technical win. We are part advisor, part technical thought leader, part problem solver. We combine deep knowledge of hx Renew with a consultative mindset, helping customers imagine what a transformation could look like and designing solutions that prove the value in detail.","","https://framerusercontent.com/images/wUgF6GGJWgQJMlPXRy8P8O7t28.jpg","","Solutions Architecture","Solutions Architecture","Solutions Architects at hx are the voice of IT, security and infrastructure - both inside hx and in front of customers. We figure out how hx Renew fits into complex, often ancient system landscapes, translating between modern cloud architectures and 1990s reality without losing sight of the bigger transformation.","","https://framerusercontent.com/images/y795LxQMOvuoGCZuHOwiSPx3SK8.jpg","","Ecosystems","Ecosystems","Ecosystems specialists own the connections between hx and the wider insurance stack. We work on integrations, partnerships and data flows that ensure our platform plays well with the tools, feeds and systems customers rely on, turning hx into the centre of a powerful ecosystem rather than a standalone product.","","It never gets easier. The problems just get more interesting.","Smart, kind, and gets stuff done.","We're responsible for the technical win in every opportunity.","We're often the first hxer a customer meets.","Solving problems never solved before.","30-year-old systems meet cutting-edge AI. We transform both.","How FENG is structured","One team, different angles on the same problem","true","win-the-technical-decision,bridge-legacy-and-future,build-the-ecosystem-advantage","false","","","","true","product-engine,technical-discovery-and-scoping,performance-optimization,technical-training-and-enablement","tom-clark-(aka-tc)","false","","","","","","","","false","","The patterns of our very best FENG people","What the environment gives back","They care about product judgement, not just delivery","They are comfortable making calls without perfect information. They think in systems, trade-offs and second-order effects, and they take responsibility for the consequences of product decisions over time.","They go deep where it matters","They don't skim the surface. They are willing to stay in the technical detail, the workflow, or the customer context until the problem is genuinely understood - even when that takes longer than expected.","They operate comfortably inside ambiguity","They shape direction before the brief is perfect or the roadmap is locked. They prioritise deliberately and adapt without losing coherence.","A platform where product judgement actually matters","We're not shielded from complexity. Product decisions affect architecture, workflows, customers and long-term platform shape - and we see that impact directly.","Serious technical partnership","Engineering challenges assumptions. Domain experts push back. AI changes what is possible week to week. The work sharpens our thinking rather than narrowing it.","Growth that compounds through depth","We develop technical fluency, platform thinking and AI literacy together. The learning curve is steep, but it is cumulative - not episodic."
"model-development","Model Development","Model Development Hub","revenue","model-development","https://framerusercontent.com/images/qLHCUDrfU4MhMImcTkpF7OrhmI.jpg","","We build the pricing intelligence that powers hx Renew.","Model Development at hx sits at the intersection of production engineering, actuarial complexity and customer partnership: where we transform legacy pricing logic into modern, trusted models.","true","Explore our Teams","Cards","","1","https://framerusercontent.com/images/fpStdiNrO6tLTC9ee4U83iFpqY.jpg","","Model Development ","Model Development ","We're a collaborative, highly technical team that works directly with customers to build production-grade pricing and reinsurance models in hx Renew. We translate legacy Excel models or design new ones from scratch, support customers to own and extend their models, and work across global carriers, reinsurers and specialist MGAs. This is high-stakes, customer-facing work where we're often the main technical touchpoint customers have with hx. We need strong coding craft, clear communication under pressure, and the ability to move between technical depth and stakeholder conversations seamlessly.","","","","","","","","","","","","","","We explain complex logic to actuaries, IT teams and C-suite alike.","Technical delivery with strategic consulting influence.","Show and tell culture: solve it once, share it with everyone.","Scaffolding at the start. Full ownership as we grow.","We translate between actuarial thinking and production code.","We work across Product, CS, Sales and Solutions Architecture daily.","How MDT is structured","One team - focused on rapid, agile delivery","true","building-and-translating-models,coaching-and-enabling-customers,sharing-patterns-across-the-team","false","","","","true","converting-actuarial-logic-into-production-code,customer-specific-implementations,building-models-that-underwriters-trust,working-at-the-intersection-of-customer-delivery-and-product","daniel-radigan","true","","","","","","","","false","","The patterns of our very best MDT people","What the environment gives back","They're comfortable in front of customers","Most of their time is on customer projects. They're often the main technical face customers see. They explain complex logic clearly and build trust with actuaries, IT teams and C-suite stakeholders under real pressure. They work directly with actuaries to understand pricing logic, business rules and edge cases, then rebuild it in a way that's maintainable, collaborative and performs at scale.","They develop production-grade code with care","Their code goes live with real underwriters supporting real business decisions. They develop from capable coder to building fully tested, maintainable models that hold up under scrutiny. This means attention to detail, clear documentation, and code that others can understand and extend.","They own outcomes, not just tasks","They stay involved beyond the initial build. They see projects through, support customers to extend their models, and take responsibility for whether the engagement succeeds or needs adjustment along the way. This means ongoing collaboration, not just handoff.","Scaffolding that grows with you","We start with strong support and senior partnership. As we grow, we lead engagements end to end and present at user groups. The team guides us to the edge of our comfort zone while owning the risk at leadership level.","Developing two skill sets together","Production-grade engineering and stakeholder collaboration under pressure. We learn how to write robust code and how to build trust with C-suite executives. Most people spend years building one or the other - we develop both simultaneously.","Learning across markets and relationships","We move between global carriers, specialist MGAs and complex reinsurance structures. We see how different markets price risk, how different customers work, and we build relationships and models that matter."
"pricing-innovation","Actuarial Pricing & Value Consulting","Actuarial Pricing & Value Consulting Hub","revenue","pricing-innovation,actuarial,value-consulting","https://framerusercontent.com/images/xfhiXEzpna47wBPHePvDOUPD5eo.jpg","","We help customers quantify pricing transformation.","Actuarial Pricing & Value Consulting at hx sits at the intersection of actuarial expertise, commercial strategy and measurable impact: where we quantify transformation value and provide market credibility.","true","Explore our Teams","Cards","","2","https://framerusercontent.com/images/F8E6i8hbyxXmH79pVZP8e01zlto.jpg","","Pricing (Actuarial)","Pricing (Actuarial)","Pricing at hx is a pricing strategy and transformation role in high-stakes conversations with chief actuaries, CEOs and reinsurance leaders. We provide credibility, challenge thinking, support complex deals, and shape product direction using real market experience. We're hx's internal centre of excellence for actuarial insight.","","https://framerusercontent.com/images/2Z4wgeW3v30gUtJbpoUpoB2REw.jpg","","Value Consulting","Value Consulting","Value Consulting quantifies what hx creates for customers and prospects - financially, operationally and strategically. We build pre-sale value cases, run post-sale assessments, turn market research into commercial insight and create frameworks that Sales, Customer Success and Marketing use daily. This is strategic, narrative-driven work that influences deals, accelerates velocity and reframes how customers see transformation.","","","","","","","","Not traditional actuarial. Not classic consulting. Something in between.","We present to CEOs and boards within our first few months.","Cross-functional by design - we work outside the team more than in it.","Challenge and be challenged. All views are welcomed.","We develop commercial clarity faster than traditional actuarial paths.","Market-wide view of how pricing is evolving, no two customers the same.","How Actuarial Pricing and Value Consulting is structured","An expert team operating across every function","true","quantifying-value-at-speed,technical-credibility,working-across-the-business","false","","","","false","","kamelsh-walia","false","","","","","","","","false","","The patterns of our very best P&I people","What the environment gives back","They prioritise influence over technical perfection","They care more about moving a conversation forward than producing a flawless spreadsheet. They understand that credibility comes from clarity, not complexity, and they can explain strategy to a CEO as easily as methodology to a chief actuary.","They embrace challenge in all directions","Anyone can say anything to anyone. Ideas get better because of it. They bring views to the table, listen to pushback, and change their mind when the thinking improves. Ego doesn't survive here.","They shape their own path","We present to boards, CEOs and chief actuaries within our first few months. We're in the room when transformation decisions get made, earning that access immediately rather than waiting years.","Exposure to senior decision-makers from the start","You present to boards, CEOs and chief actuaries within your first few months. You're in the room when transformation decisions get made, not waiting years to earn that access.","Market-wide understanding most actuaries never get","We see how pricing teams operate across global carriers, reinsurers, MGAs and specialist markets. We understand transformation at a level traditional actuarial paths don't reach - without the unsustainable hours.","Accelerated commercial and strategic development","We develop influence and strategic thinking far faster than traditional actuarial or consulting roles. We become commercial actuaries with real impact, not just technical depth."
"client-services","Client Services","Client Services Hub","revenue","customer-and-consulting,customer-project-management-managers,customer-support,learning","https://framerusercontent.com/images/7be8mZKsh8u8ZVac77Ca2gI.jpg","","We turn contracts into real customer outcomes.","Client Services at hx sits at the intersection of project delivery, enablement and operational excellence: onboarding customers and supporting them from first workshop to multi-year delivery.","true","Explore our Teams","Cards","","3","https://framerusercontent.com/images/jUsfsQUb1Xun4uOqx7MekIxk1ss.jpg","","Client Education","Client Education","Client Education designs learning content and delivers training that helps customers use the hx platform. By working closely with customer, product and marketing teams, we turn new product features and best practices into courses, certifications and events. We support everyone from first-time users to advanced developers. This isn't updating documentation - we're building the learning ecosystem for our fast-evolving platform.","","https://framerusercontent.com/images/fpStdiNrO6tLTC9ee4U83iFpqY.jpg","","Project Management","Project Management","Project Management at hx is responsible for all onboarding and SOW-based work. We coordinate cross-functional teams, manage budgets and timelines, and become one of the main faces of hx for our accounts. This is real ownership of complex, technical, commercial programmes that generate revenue and often lead to multi-year extensions.","","https://framerusercontent.com/images/FsGUnOIelS6cFRmMmCBMN6zWGzA.jpg","","Customer Support","Customer Support","Customer Support at hx is the safety net when things go wrong. We handle incidents, bugs and live issues against clear SLAs - working across the entire product and engineering organisation to resolve problems and protect customer trust in critical moments. Hitting SLAs is a contractual commitment - customer relationships depend on us being there when it matters most.","","Not back office. Right in the middle of live customer work.","Junior PMs lead calls with major carriers within months.","AI removes the grunt work so we can focus on judgment and impact.","Part of one of the most cross functional teams at hx.","Calm under pressure when production incidents land.","We own outcomes, not tasks or narrow processes.","How Client Services is structured","One function, three specialist teams","true","onboarding-and-delivery,building-the-learning-engine,protecting-trust","false","","","","false","","alex-catterall","false","","","","","","","","false","","The patterns of our very best Client Services people","What the environment gives back","They own outcomes, not just their part of the process","PMs treat projects as their business, not just a list of actions. Support engineers protect relationships beyond closing tickets. Learning specialists care about changed behaviour, not course completion rates.","They become technically fluent over time","Everyone in Client Services is expected to understand the product deeply. We can't credibly run projects, train users or triage incidents without knowing how things actually work under the hood.","They stay calm when things get messy","When a production incident lands or a critical deadline looms, the best people stay organised, communicative and focused on solutions. Customers feel the difference.","A launchpad into multiple careers","People move from Client Services into Product, Workflow Engineering, revenue teams and more. The generalist, technically fluent foundation we build here opens doors inside and outside hx.","Responsibility beyond typical customer roles","We work with Finance, Legal, Product, Engineering and CS in the same week. Most customer roles keep you in one lane - this one puts us at the centre of how everything connects.","True generalist experience","We develop technical fluency, platform thinking and AI literacy together. The learning curve is steep, but it is cumulative - not episodic."
